2022-02-15 04:29:15.972 ERROR 2010 --- [XNIO-1 task-27] l.server.io.HandshakeInterceptorImpl     : Authentication failed from /8.26.182.130:50256
2022-02-15 04:29:18.408 ERROR 2010 --- [XNIO-1 task-20] l.server.io.HandshakeInterceptorImpl     : Authentication failed from /209.141.51.222:18006
2022-02-15 05:53:12.167  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:53:28.892  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 05:53:28.895  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 05:53:28.896  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 05:53:28.896  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 05:53:28.902  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 05:53:28.906  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 05:58:45.805  INFO 2010 --- [XNIO-1 task-9] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:58:45.806  INFO 2010 --- [XNIO-1 task-8] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:58:45.817  INFO 2010 --- [XNIO-1 task-10] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:58:45.824  INFO 2010 --- [XNIO-1 task-11] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:58:45.824  INFO 2010 --- [XNIO-1 task-12] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:58:45.830  INFO 2010 --- [XNIO-1 task-13] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 05:58:46.130  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:58:46.133  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:58:46.180  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-141] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:58:46.182  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:58:46.182  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-143] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:58:46.185  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:58:46.195  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-142] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:58:46.198  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:58:46.228  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-140] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:58:46.230  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 05:58:46.516  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 05:58:46.519  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 07:30:39.293  INFO 2010 --- [XNIO-1 task-19] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي"
2022-02-15 07:30:39.293  INFO 2010 --- [XNIO-1 task-22] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي"
2022-02-15 07:30:39.296  INFO 2010 --- [XNIO-1 task-18] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي"
2022-02-15 07:30:39.301  INFO 2010 --- [XNIO-1 task-21] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي"
2022-02-15 07:30:39.813  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي
2022-02-15 07:30:39.820  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAA7gIAfU1hcndhbiBQYWJsbyBYIE1vbG90b2YgLSBFbCBHZW1lemEgKE9mZmljaWFsIE11c2ljIFZpZGVvKSjZhdix2YjYp9mGINio2KfYqNmE2YggIC0g2KfZhNis2YXZitiy2Kko2KfZhNmB2YrYr9mK2Ygg2KfZhNix2LPZhdmKABdBbGVmIDNlaW4g2KPZhNmBINi52YrZhgAAAAAAAw1AAAtSTWlLTnFCYVg0NAABACtodHRwczovL3d3dy55b3V0dWJlLmNvbS93YXRjaD92PVJNaUtOcUJhWDQ0AAd5b3V0dWJlAAAAAAAAAAA="}
2022-02-15 07:30:39.833  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-144] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي
2022-02-15 07:30:39.838  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAA7gIAfU1hcndhbiBQYWJsbyBYIE1vbG90b2YgLSBFbCBHZW1lemEgKE9mZmljaWFsIE11c2ljIFZpZGVvKSjZhdix2YjYp9mGINio2KfYqNmE2YggIC0g2KfZhNis2YXZitiy2Kko2KfZhNmB2YrYr9mK2Ygg2KfZhNix2LPZhdmKABdBbGVmIDNlaW4g2KPZhNmBINi52YrZhgAAAAAAAw1AAAtSTWlLTnFCYVg0NAABACtodHRwczovL3d3dy55b3V0dWJlLmNvbS93YXRjaD92PVJNaUtOcUJhWDQ0AAd5b3V0dWJlAAAAAAAAAAA="}
2022-02-15 07:30:39.907  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-145] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي
2022-02-15 07:30:39.912  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAA7gIAfU1hcndhbiBQYWJsbyBYIE1vbG90b2YgLSBFbCBHZW1lemEgKE9mZmljaWFsIE11c2ljIFZpZGVvKSjZhdix2YjYp9mGINio2KfYqNmE2YggIC0g2KfZhNis2YXZitiy2Kko2KfZhNmB2YrYr9mK2Ygg2KfZhNix2LPZhdmKABdBbGVmIDNlaW4g2KPZhNmBINi52YrZhgAAAAAAAw1AAAtSTWlLTnFCYVg0NAABACtodHRwczovL3d3dy55b3V0dWJlLmNvbS93YXRjaD92PVJNaUtOcUJhWDQ0AAd5b3V0dWJlAAAAAAAAAAA="}
2022-02-15 07:30:40.249  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: Marwan Pablo X Molotof - El Gemeza (Official Music Video)(مروان بابلو - الجميزة(الفيديو الرسمي
2022-02-15 07:30:40.255  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAA7gIAfU1hcndhbiBQYWJsbyBYIE1vbG90b2YgLSBFbCBHZW1lemEgKE9mZmljaWFsIE11c2ljIFZpZGVvKSjZhdix2YjYp9mGINio2KfYqNmE2YggIC0g2KfZhNis2YXZitiy2Kko2KfZhNmB2YrYr9mK2Ygg2KfZhNix2LPZhdmKABdBbGVmIDNlaW4g2KPZhNmBINi52YrZhgAAAAAAAw1AAAtSTWlLTnFCYVg0NAABACtodHRwczovL3d3dy55b3V0dWJlLmNvbS93YXRjaD92PVJNaUtOcUJhWDQ0AAd5b3V0dWJlAAAAAAAAAAA="}
2022-02-15 07:30:47.034  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"pause","guildId":"938704039804272660","pause":true}
2022-02-15 07:30:47.034  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"sessionId":"0e818c8e0e990963a281c3334e6a92f9","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"0335f2a5c9774b4b","guild_id":"938704039804272660","endpoint":"rotterdam8905.discord.media:443"}}
2022-02-15 07:30:47.035  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"pause","guildId":"938704039804272660","pause":false}
2022-02-15 07:30:47.165  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"sessionId":"0e818c8e0e990963a281c3334e6a92f9","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"0335f2a5c9774b4b","guild_id":"938704039804272660","endpoint":"rotterdam8905.discord.media:443"}}
2022-02-15 07:30:47.440  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"sessionId":"0e818c8e0e990963a281c3334e6a92f9","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"0335f2a5c9774b4b","guild_id":"938704039804272660","endpoint":"rotterdam3928.discord.media:443"}}
2022-02-15 07:30:58.140  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"filters","guildId":"938704039804272660","equalizer":[{"band":0,"gain":0.6},{"band":1,"gain":0.67},{"band":2,"gain":0.67},{"band":3,"gain":0},{"band":4,"gain":-0.5},{"band":5,"gain":0.15},{"band":6,"gain":-0.45},{"band":7,"gain":0.23},{"band":8,"gain":0.35},{"band":9,"gain":0.45},{"band":10,"gain":0.55},{"band":11,"gain":0.6},{"band":12,"gain":0.55},{"band":13,"gain":0}]}
2022-02-15 07:32:13.808  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"filters","guildId":"938704039804272660","equalizer":[{"band":0,"gain":0.65},{"band":1,"gain":0.45},{"band":2,"gain":-0.45},{"band":3,"gain":-0.65},{"band":4,"gain":-0.35},{"band":5,"gain":0.45},{"band":6,"gain":0.55},{"band":7,"gain":0.6},{"band":8,"gain":0.6},{"band":9,"gain":0.6},{"band":10,"gain":0},{"band":11,"gain":0},{"band":12,"gain":0},{"band":13,"gain":0}]}
2022-02-15 12:09:37.513  INFO 2010 --- [XNIO-1 task-26] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:Fake,A,Smile"
2022-02-15 12:09:37.998  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: Fake,A,Smile
2022-02-15 14:05:52.012  INFO 2010 --- [XNIO-1 task-31] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:05:52.013  INFO 2010 --- [XNIO-1 task-31] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:05:52.015  INFO 2010 --- [XNIO-1 task-3] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:05:52.015  INFO 2010 --- [XNIO-1 task-32] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:05:52.016  INFO 2010 --- [XNIO-1 task-30] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:05:52.028  INFO 2010 --- [XNIO-1 task-4] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:05:52.451  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-149] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:05:52.457  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:05:52.462  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-147] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:05:52.467  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:05:52.587  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:05:52.587  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-146] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:05:52.593  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:05:52.594  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:05:52.628  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-148] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:05:52.633  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:05:52.863  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-149] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:05:52.868  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:04.669  INFO 2010 --- [XNIO-1 task-10] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:05.029  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-147] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
